"","CVE_INEGI","mun_code","year","CORR_COUNT","INFRA_COUNT","internal_audit","state_gov_audit","otro_state","ASE","ASF","SFP","otro_fed","otro","state_abbrv","reform_ley_anticorr","man_1.1","man_1.2","man_1.3","man_1.4","pol_2.1","pol_2.10","pol_2.2","pol_2.3","pol_2.4","pol_2.5","pol_2.6","pol_2.7","pol_2.8","pol_2.9","str_3.1","str_3.2","str_3.3","fin_4.1","leg_5.1","leg_5.2","int_6.1","int_6.2","int_6.3","int_6.4","int_6.5","int_6.6","int_6.7","reform_year_imco","ASE_binary","internal_audit_binary","ASF_binary","CORR_binary","INFRA_binary","n","ID_ENTIDAD","pres_congreso","pres_poder_leg","pres_efs","por_efs","poblacion","pres_estado","total_egresos","Legislativo","pres_poder_leg_inter","pres_efs_inter","end_date","party_ties","term_status","state","pob_mun","idh","pea","indice_marginacion","impuestos_muni","egresos_muni","lag_impuestos_muni","lag_egresos_muni"
"1","1001",1,2010,0,13,80,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,6,1,167771000,195679000,23535000,0.120273509,1184996,18079091000,13440704501,185218000,190708136.808853,22937136.8088528,NA,NA,NA,"Aguascalientes",797010,0.8716,336974,-1.7684,210291765,2149053031,191633572,2075959176
"2","1003",3,2010,0,0,12,6,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,6,1,167771000,195679000,23535000,0.120273509,1184996,18079091000,13440704501,185218000,190708136.808853,22937136.8088528,NA,NA,NA,"Aguascalientes",54136,0.7707,19310,-0.754,4395121,166308622,3800197,137816761
"3","1004",4,2010,0,0,NA,NA,NA,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,6,1,167771000,195679000,23535000,0.120273509,1184996,18079091000,13440704501,185218000,190708136.808853,22937136.8088528,NA,NA,NA,"Aguascalientes",15042,0.7751,4819,-0.6478,700325,53006802,608013,49101247
"4","1009",9,2010,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,6,1,167771000,195679000,23535000,0.120273509,1184996,18079091000,13440704501,185218000,190708136.808853,22937136.8088528,NA,NA,NA,"Aguascalientes",19668,0.7645,6413,-0.6085,1192663,67545432,870816,73832425
"5","1010",10,2010,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6,1,167771000,195679000,23535000,0.120273509,1184996,18079091000,13440704501,185218000,190708136.808853,22937136.8088528,NA,NA,NA,"Aguascalientes",18828,0.7552,5849,-0.6723,462596,58576851,417523,59066576
"6","1011",11,2010,0,6,6,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,6,1,167771000,195679000,23535000,0.120273509,1184996,18079091000,13440704501,185218000,190708136.808853,22937136.8088528,NA,NA,NA,"Aguascalientes",35769,0.7896,13204,-1.1444,9334519,90860620,7192509,96467734
"7","1001",1,2012,0,17,0,1,0,1,0,0,1,0,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",810250.4,0.8716,336974,-1.7684,274471893,2828891727,240613829,2706630374
"8","1002",2,2012,0,0,0,0,0,2,0,0,0,0,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",45492,0.752,14319,-0.4626,1983101,112169732,1467790,103239671
"9","1003",3,2012,6,22,17,1,0,1,0,1,0,0,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",54136,0.7707,19310,-0.754,8172626,153643285,6997508,152269257
"10","1004",4,2012,0,2,12,0,0,2,0,0,0,0,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",15042,0.7751,4819,-0.6478,822128,66667517,579116,66936851
"11","1005",5,2012,0,0,0,0,0,0,0,0,0,0,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",99590,0.8102,39315,-1.2622,41232818,227266091,30403625,218315482
"12","1006",6,2012,0,0,12,0,0,0,0,0,NA,NA,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",41862,0.8084,14892,-1.2451,4796503,112839664,3402701,106551530
"13","1008",8,2012,0,2,2,NA,NA,2,NA,NA,NA,NA,"AGS",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,0,1,10,1,167771000,195679000,23535000,0.120273509,1236015.2,18079091000,18177450000,191980000,190708136.808853,22937136.8088528,NA,"PRI","pressured","Aguascalientes",8443,0.7878,2863,-0.7534,651532,63851257,1148206,66206174
