"","NOM_ENT","NOM_MUN","CVE_INEGI","year","Election","TOTAL","effective_number_parties","Winning_Party","alternation","num_alternations"
"1","Aguascalientes","Aguascalientes","01001","1986","Municipal",142030,1.9471875055419,"PRI",NA,NA
"2","Aguascalientes","Aguascalientes","01001","1989","Municipal",88659,1.97733727685005,"PRI",0,0
"3","Aguascalientes","Aguascalientes","01001","1992","Municipal",137977,2.00998239021316,"PRI",0,0
"4","Aguascalientes","Aguascalientes","01001","1995","Municipal",178184,2.51735353746867,"PAN",1,1
"5","Aguascalientes","Aguascalientes","01001","1998","Municipal",247257,2.34564927924171,"PAN",0,1
"6","Aguascalientes","Aguascalientes","01001","2001","Municipal",163819,2.69609923726595,"PAN",0,1
"7","Aguascalientes","Aguascalientes","01001","2004","Municipal",235268,2.17566276243574,"PAN",0,1
"8","Aguascalientes","Aguascalientes","01001","2007","Municipal",209282,3.57907982897519,"PRI",1,2
"9","Aguascalientes","Aguascalientes","01001","2010","Municipal",290859,2.24683206204486,"PRI_C",1,3
"10","Aguascalientes","Aguascalientes","01001","2013","Municipal",250151,2.49122562986663,"PAN_C",1,4
"11","Aguascalientes","Aguascalientes","01001","2016","Municipal",293788,3.24895186415638,"PAN",0,4
"12","Aguascalientes","Asientos","01002","1986","Municipal",11596,1.21521009300097,"PRI",NA,NA
"13","Aguascalientes","Asientos","01002","1989","Municipal",8339,1.09850900443036,"PRI",0,0
"14","Aguascalientes","Asientos","01002","1992","Municipal",8053,2.08511560800971,"PRI",0,0
"15","Aguascalientes","Asientos","01002","1995","Municipal",9532,2.19612159618698,"PRI",0,0
"16","Aguascalientes","Asientos","01002","1998","Municipal",12588,2.31748516851912,"PAN",1,1
"17","Aguascalientes","Asientos","01002","2001","Municipal",12146,3.47558082474974,"PRI",1,2
"18","Aguascalientes","Asientos","01002","2004","Municipal",14884,2.75995235109208,"PAN",1,3
"19","Aguascalientes","Asientos","01002","2007","Municipal",15580,2.79997279111456,"PRI",1,4
"20","Aguascalientes","Asientos","01002","2010","Municipal",17659,2.3449234984439,"PRI_C",1,5
"21","Aguascalientes","Asientos","01002","2013","Municipal",20635,3.0689493078878,"PANAL",1,6
"22","Aguascalientes","Asientos","01002","2016","Municipal",21315,2.18614132122508,"PRI_C",1,7
"23","Aguascalientes","Calvillo","01003","1986","Municipal",8059,2.21920951185645,"PRI",NA,NA
"24","Aguascalientes","Calvillo","01003","1989","Municipal",5933,1.8774111798176,"PRI",0,0
"25","Aguascalientes","Calvillo","01003","1992","Municipal",11319,2.16420609949485,"PRI",0,0
